title,price,rating,availability,product_url,category,scraped_date
A Light in the Attic,Â£51.77,Three,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,Poetry,2026-09-16
Tipping the Velvet,Â£53.74,One,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,Historical Fiction,2026-09-16
Soumission,Â£50.10,One,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,Fiction,2026-09-16
Sharp Objects,Â£47.82,Four,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Mystery,2026-09-16
Sapiens: A Brief History of Humankind,Â£54.23,Five,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,History,2026-09-16
The Requiem Red,Â£22.65,One,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,Young Adult,2026-09-16
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,Four,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,Business,2026-09-16
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,Three,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,Default,2026-09-16
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,Four,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,Default,2026-09-16
The Black Maria,Â£52.15,One,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,Poetry,2026-09-16
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,Two,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,Default,2026-09-16
Shakespeare's Sonnets,Â£20.66,Four,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,Poetry,2026-09-16
Set Me Free,Â£17.46,Five,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,Young Adult,2026-09-16
